# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	31513
#@/user_id	53f8df16-24bd-4171-bf21-ee7068d0bb6a
a 	啊	c=62 d=1.01193 t=30983
bei 	唄	c=1 d=1 t=19411
bei 	被	c=26 d=1 t=30749
bei an 	備案	c=10 d=1.00616 t=12701
bei bei 	貝貝	c=1 d=1 t=2907
bei da 	北大	c=1 d=1 t=31378
bei dao 	被盜	c=1 d=1 t=7540
bei fa 	被發	c=1 d=1 t=7542
bei fen 	備份	c=4 d=1.00002 t=12383
bei gai 	被改	c=1 d=1 t=23115
bei hou 	背後	c=2 d=1 t=27173
bei ji xing 	北極星	c=24 d=2.06358 t=31171
bei jing 	北京	c=17 d=1.00169 t=30757
bei jing 	背景	c=2 d=1.00006 t=6910
bei jing se 	背景色	c=1 d=1 t=31
bei jing tu 	背景圖	c=1 d=1 t=7752
bei jing zuo 	北京做	c=1 d=1 t=15059
bei ni 	被你	c=2 d=1 t=6243
bei pian le 	被騙了	c=1 d=1 t=27458
bei ren 	被人	c=1 d=1 t=7687
bei shi fang 	被釋放	c=1 d=1 t=1548
bei ta 	被他	c=1 d=1 t=16925
bei yong 	備用	c=1 d=1 t=25277
bei zhu 	備註	c=9 d=1 t=23551
ben 	本	c=1 d=0.1 t=30613
ben ci 	本次	c=2 d=1.96079 t=20549
ben di 	本地	c=21 d=1 t=31142
ben gou 	本狗	c=1 d=1 t=21918
ben lai 	本來	c=6 d=1.00007 t=22547
ben ling 	本領	c=0 d=0.1 t=20661
ben ling de 	本領的	c=1 d=1 t=20662
ben shen 	本身	c=3 d=1 t=12937
ben ye 	本頁	c=1 d=1 t=24633
ben zhou 	本週	c=10 d=1.00493 t=27353
ben zhou qi 	本週期	c=1 d=1 t=30614
beng kui 	崩潰	c=1 d=1 t=14570
bi 	比	c=10 d=1 t=29547
bi jiao 	比較	c=25 d=1.71534 t=31221
bi jiao chang 	比較長	c=2 d=1.65705 t=2543
bi jiao di 	比較低	c=1 d=1 t=3011
bi jiao duo 	比較多	c=1 d=1 t=24530
bi jiao jiu 	比較久	c=1 d=1 t=3055
bi jiao shao 	比較少	c=2 d=1 t=30486
bi jing 	畢竟	c=2 d=1 t=21071
bi kong 	鼻孔	c=1 d=1 t=28709
bi mian 	避免	c=7 d=1 t=21406
bi ni 	比你	c=2 d=1.9802 t=9172
bi ru 	比如	c=22 d=3.02687 t=30794
bi xu 	必須	c=12 d=1.30291 t=28261
bi xu dao 	必須到	c=1 d=1 t=18858
bi yan 	鼻炎	c=2 d=1 t=28645
bi yao 	必要	c=2 d=1 t=30707
bi ye 	畢業	c=5 d=1 t=24778
bi zai 	比在	c=1 d=1 t=31141
bi zhe 	逼着	c=1 d=1 t=24934
bi zhe ge 	比這個	c=1 d=1 t=22670
bi zhi 	壁紙	c=3 d=1.70822 t=25689
bi zi 	鼻子	c=2 d=1.77105 t=28703
bian 	變	c=1 d=1 t=12858
bian 	邊	c=1 d=1 t=19039
bian bian 	變變	c=1 d=1 t=13190
bian cheng 	變成	c=2 d=1 t=8438
bian hao 	編號	c=3 d=1 t=31424
bian hua 	變化	c=2 d=1 t=29034
bian hua lv 	變化率	c=1 d=1 t=24224
bian ji 	編輯	c=2 d=0.1 t=27257
bian ji qu 	編輯區	c=1 d=1 t=27258
bian ju 	邊距	c=1 d=0.1 t=28849
bian kuang 	邊框	c=1 d=1 t=20230
bian li 	便利	c=1 d=1 t=30262
bian li 	遍歷	c=1 d=1 t=30263
bian li dian 	便利店	c=1 d=1 t=12650
bian li feng 	便利蜂	c=2 d=1 t=19533
bian liang 	變量	c=9 d=1.10083 t=14367
bian ma 	編碼	c=8 d=1 t=30268
bian yi 	編譯	c=2 d=1 t=6260
bian yuan 	邊緣	c=1 d=1 t=17730
biao 	彪	c=3 d=2.98012 t=7581
biao 	標	c=2 d=1 t=19236
biao 	表	c=18 d=0.1 t=26732
biao biao 	彪彪	c=4 d=1.0013 t=17129
biao dan 	表單	c=1 d=1 t=10382
biao ge 	表哥	c=3 d=1.2923 t=29571
biao ge 	表格	c=5 d=1 t=20468
biao ge li 	表格裏	c=4 d=1.01428 t=7303
biao ji 	標記	c=2 d=1 t=28176
biao jia 	標價	c=0 d=0.1 t=3619
biao jie gou 	表結構	c=3 d=1.0805 t=10926
biao li 	表裏	c=2 d=1.00004 t=21249
biao mian 	表面	c=1 d=1 t=994
biao qian 	標籤	c=10 d=1 t=25243
biao qing 	表情	c=1 d=1 t=30434
biao shi 	標識	c=3 d=1 t=24646
biao shi 	表示	c=1 d=1 t=25611
biao ti 	標題	c=4 d=1.00001 t=22350
biao yang 	表揚	c=1 d=1 t=30467
biao zhi 	標誌	c=3 d=1.00002 t=18115
biao zhi 	標識	c=1 d=1 t=15968
biao zhun 	標準	c=8 d=1.33561 t=28086
biao zhun hua 	標準化	c=2 d=1.00001 t=28658
bie 	別	c=4 d=1 t=31348
bie bie bie 	別別別	c=1 d=1 t=17795
bie dan xin 	別擔心	c=1 d=1 t=13305
bie de 	別的	c=16 d=1 t=28173
bie fa 	別發	c=1 d=1 t=8686
bie fan 	別煩	c=6 d=0.101282 t=26241
bie fan bie fan 	別煩別煩	c=1 d=1 t=26242
bie ji 	別急	c=2 d=1.99501 t=13358
bie jia 	別家	c=1 d=1 t=1198
bie lai 	別來	c=0 d=0.1 t=28358
bie lai le 	別來了	c=1 d=1 t=28359
bie qu 	別去	c=1 d=1 t=2917
bie ren 	別人	c=3 d=1 t=22455
bie zhao ji 	別着急	c=2 d=1.00027 t=3875
bie zhe 	憋着	c=1 d=1 t=3766
bin 	斌	c=1 d=1 t=7720
bing 	並	c=1 d=1 t=295
bing 	兵	c=1 d=1 t=26435
bing 	餅	c=0 d=0.1 t=13844
bing bing 	兵兵	c=1 d=1 t=24010
bing fa 	併發	c=0 d=0.1 t=24821
bing qie 	並且	c=3 d=1 t=25935
bing xiang 	冰箱	c=1 d=1 t=13839
bing xing 	並行	c=1 d=1 t=29322
bo dong 	波動	c=2 d=1 t=3698
bo ji 	波及	c=1 d=1 t=16916
bo zong 	波總	c=1 d=1 t=20168
bu 	不	c=38 d=0.100567 t=30649
bu 	布	c=0 d=0.1 t=9669
bu 	步	c=1 d=1 t=9671
bu 	補	c=3 d=1.23693 t=25437
bu 	部	c=1 d=1 t=18860
bu an quan 	不安全	c=1 d=1 t=488
bu bai 	不白	c=0 d=0.1 t=542
bu bai sheng qi 	不白生氣	c=1 d=1 t=543
bu bao kuo 	不包括	c=1 d=1 t=8442
bu bei 	不被	c=1 d=1 t=25694
bu bu bu 	不不不	c=4 d=1 t=29860
bu ce 	不測	c=0 d=0.1 t=15420
bu ce le 	不測了	c=2 d=1 t=20059
bu chong 	補充	c=4 d=1 t=28818
bu chu lai 	不出來	c=0 d=0.1 t=16517
bu chuang 	部牀	c=1 d=1 t=13736
bu cuo 	不錯	c=2 d=1 t=13782
bu da 	不大	c=4 d=1.97045 t=29007
bu da kai 	不打開	c=1 d=1 t=5749
bu dai biao 	不代表	c=1 d=1 t=1903
bu dao 	不到	c=3 d=1 t=18717
bu dao wei 	不到位	c=1 d=1 t=3845
bu de bu 	不得不	c=1 d=1 t=24850
bu de yi 	不得已	c=1 d=1 t=5048
bu diu 	不丟	c=1 d=1 t=4932
bu dong 	不動	c=1 d=0.1 t=30766
bu dou 	不都	c=1 d=1 t=30814
bu dou shi 	不都是	c=1 d=1 t=23229
bu dui 	不對	c=27 d=2.09285 t=29578
bu dui le 	不對了	c=1 d=1 t=19363
bu dui ma 	不對嗎	c=1 d=1 t=26819
bu duo 	不多	c=3 d=1 t=13403
bu fa hui 	不發揮	c=1 d=1 t=28246
bu fang bian 	不方便	c=2 d=1.00001 t=23607
bu fen 	部分	c=2 d=1 t=31119
bu fu he 	不符合	c=1 d=1 t=3372
bu fu yan 	不敷衍	c=2 d=1.99501 t=570
bu gai 	不改	c=1 d=1 t=23814
bu gai 	不該	c=0 d=0.1 t=24841
bu gai shi 	不該是	c=1 d=1 t=24842
bu gan le 	不幹了	c=1 d=1 t=12751
bu gao 	不搞	c=1 d=0.1 t=15372
bu gao le 	不搞了	c=1 d=1 t=15373
bu gei 	不給	c=4 d=1 t=22796
bu gou 	不夠	c=3 d=1.06081 t=15071
bu guai 	不怪	c=0 d=0.1 t=25791
bu guai ni 	不怪你	c=1 d=1 t=25792
bu guan 	不管	c=6 d=0.101297 t=31464
bu guan le 	不管了	c=2 d=1.00145 t=27934
bu guan lian 	不關聯	c=1 d=1 t=26353
bu guan shi 	不管是	c=1 d=1 t=4581
bu guan zhu 	不關注	c=1 d=1 t=27619
bu guang 	不光	c=1 d=1 t=8359
bu gui fan 	不規範	c=1 d=1 t=27867
bu guo 	不過	c=20 d=1.85217 t=29030
bu hao 	不好	c=7 d=1 t=22752
bu hao kan 	不好看	c=1 d=1 t=7730
bu hao xiao 	不好笑	c=1 d=1 t=12649
bu hao yong 	不好用	c=1 d=1 t=23199
bu he bing 	不合併	c=1 d=1 t=8574
bu he li 	不合理	c=1 d=1 t=19181
bu hui 	不回	c=2 d=1.91851 t=13716
bu hui 	不會	c=19 d=1 t=31325
bu hui bian 	不會變	c=1 d=1 t=23939
bu hui shao 	不會少	c=1 d=1 t=576
bu hui shi 	不會是	c=0 d=0.1 t=15010
bu hui shi qu 	不會是去	c=1 d=1 t=15011
bu huo 	捕獲	c=5 d=1.02001 t=12689
bu jian bu san 	不見不散	c=1 d=1 t=17098
bu jian de 	不見得	c=1 d=1 t=24883
bu ju 	佈局	c=1 d=1 t=24659
bu kai 	不開	c=1 d=1 t=644
bu kai ji 	不開機	c=1 d=1 t=21276
bu kan 	不看	c=1 d=1 t=7560
bu ke neng 	不可能	c=1 d=1 t=6516
bu ke qi 	不客氣	c=1 d=1 t=27281
bu ke yi 	不可以	c=1 d=1 t=6376
bu ke yong 	不可用	c=1 d=1 t=21263
bu kui 	不虧	c=1 d=1 t=15043
bu kun le 	不困了	c=2 d=1 t=21080
bu lai 	不來	c=3 d=1.98512 t=30810
bu lai de 	布萊德	c=0 d=0.1 t=13343
bu liao 	不了	c=8 d=0.103329 t=30754
bu mai 	不賣	c=0 d=0.1 t=1160
bu mai le 	不買了	c=1 d=1 t=5466
bu man yi 	不滿意	c=2 d=1 t=30499
bu men 	部門	c=1 d=1 t=8803
bu ming bai 	不明白	c=1 d=1 t=15921
bu ming que 	不明確	c=2 d=1 t=27541
bu neng 	不能	c=31 d=1 t=30927
bu pa 	不怕	c=3 d=1 t=18758
bu pi pei 	不匹配	c=1 d=1 t=21033
bu qiang 	不強	c=0 d=0.1 t=2297
bu qiang qiu 	不強求	c=1 d=1 t=2298
bu qing chu 	不清楚	c=4 d=1.01703 t=28013
bu qu 	不去	c=0 d=0.1 t=28222
bu quan 	不全	c=3 d=1.12619 t=25883
bu que ding 	不確定	c=4 d=1 t=27815
bu ran 	不然	c=7 d=1 t=30746
bu rang 	不讓	c=3 d=0.1 t=30757
bu rang lai 	不讓來	c=1 d=1 t=30758
bu rang mai 	不讓買	c=1 d=1 t=469
bu ren shi 	不認識	c=1 d=1 t=14170
bu ru 	不如	c=3 d=1 t=12560
bu shang 	不上	c=1 d=1 t=2384
bu shao 	不少	c=3 d=1 t=30646
bu sheng 	不勝	c=0 d=0.1 t=11026
bu sheng 	不省	c=1 d=1 t=12564
bu sheng ren 	不勝認	c=1 d=1 t=11027
bu shi 	不是	c=53 d=1.00005 t=31092
bu shi wang 	不失望	c=1 d=1 t=811
bu shi yong 	不使用	c=1 d=1 t=8782
bu shi yong 	不適用	c=1 d=1 t=5788
bu shou 	不受	c=1 d=1 t=26250
bu shou 	不收	c=0 d=0.1 t=21346
bu shou qu 	不收取	c=1 d=1 t=21347
bu shu 	部署	c=3 d=1 t=21421
bu shuang 	不爽	c=1 d=1 t=3246
bu shuo 	不說	c=1 d=1 t=3097
bu suan 	不算	c=1 d=1 t=3240
bu tai 	不太	c=2 d=1 t=22942
bu tai dui 	不太對	c=1 d=1 t=14375
bu tai hao 	不太好	c=2 d=1.00905 t=30309
bu tai xi huan 	不太喜歡	c=1 d=1 t=5562
bu teng 	不疼	c=0 d=0.1 t=23992
bu tong 	不同	c=5 d=1.98511 t=13918
bu tong guo 	不通過	c=1 d=1 t=1094
bu tong yi 	不統一	c=1 d=1 t=2254
bu wan 	不完	c=0 d=0.1 t=25193
bu wan 	補完	c=0 d=0.1 t=2642
bu wan le 	補完了	c=1 d=1 t=2643
bu xi huan 	不喜歡	c=2 d=1 t=20346
bu xia ban 	不下班	c=1 d=1 t=30650
bu xiang 	不像	c=1 d=1 t=20236
bu xiang 	不想	c=5 d=1.00775 t=14312
bu xiao 	不小	c=1 d=1 t=24444
bu xin 	不信	c=1 d=1 t=7563
bu xing 	不行	c=35 d=1.17843 t=31500
bu xing a 	不行啊	c=1 d=1 t=110
bu xing ba 	不行吧	c=1 d=1 t=15032
bu xu yao 	不需要	c=9 d=1 t=28197
bu yan ge 	不嚴格	c=1 d=1 t=614
bu yao 	不要	c=8 d=1.0098 t=27833
bu yao qian 	不要錢	c=2 d=1 t=22479
bu yao zai 	不要在	c=1 d=1 t=6072
bu yi dian 	補一點	c=1 d=1 t=10638
bu yi ding 	不一定	c=5 d=1 t=25838
bu yi yang 	不一樣	c=6 d=1.01128 t=29249
bu yi zhi 	不一致	c=3 d=1.03127 t=27871
bu ying gai 	不應該	c=4 d=1 t=27644
bu ying xiang 	不影響	c=4 d=1.00223 t=29479
bu yong 	不用	c=23 d=1.00331 t=27329
bu yong gai 	不用改	c=1 d=1 t=9376
bu yong pei 	不用配	c=1 d=1 t=22139
bu yong ting 	不用聽	c=1 d=1 t=12375
bu yong yan 	不用驗	c=1 d=1 t=11088
bu yun xu 	不允許	c=2 d=1 t=21553
bu zai 	不在	c=4 d=1.00008 t=28337
bu zai ma 	不在嗎	c=1 d=1 t=22114
bu zao 	不早	c=1 d=1 t=29610
bu zen me 	不怎麼	c=1 d=1 t=8118
bu zhao 	不找	c=0 d=0.1 t=7827
bu zhao ji 	不着急	c=1 d=1 t=17446
bu zhao le 	不找了	c=1 d=1 t=7828
bu zhe me 	不這麼	c=1 d=1 t=4170
bu zheng chang 	不正常	c=1 d=1 t=23133
bu zhi 	不只	c=1 d=1 t=5427
bu zhi chi 	不支持	c=1 d=1 t=6900
bu zhi dao 	不知道	c=39 d=1.58567 t=31089
bu zhi yu 	不至於	c=2 d=1 t=9141
bu zhong yao 	不重要	c=2 d=1 t=22746
bu zhou 	步驟	c=6 d=1.00028 t=13223
bu zhu 	不住	c=1 d=1 t=25967
bu zhun 	不準	c=1 d=0.1 t=27299
bu zi ji xie 	不自己寫	c=1 d=1 t=3869
bu zou 	不走	c=2 d=0.1 t=21914
bu zou 	步驟	c=1 d=1 t=11109
bu zou shi 	不走是	c=1 d=1 t=21915
bu zu 	不足	c=2 d=1 t=21850
bu zuo 	不做	c=7 d=1.00009 t=29805
cai 	才	c=9 d=1.00011 t=29270
cai 	猜	c=0 d=0.1 t=30062
cai 	菜	c=2 d=1.99501 t=1691
cai dan 	菜單	c=11 d=1.00002 t=12484
cai dan li 	菜單裏	c=1 d=1 t=12496
cai dao le 	猜到了	c=1 d=1 t=4105
cai gou 	採購	c=6 d=1 t=30795
cai guo lai 	纔過來	c=1 d=1 t=27450
cai hui 	纔會	c=1 d=1 t=27253
cai neng 	才能	c=3 d=1 t=27203
cai shi xian 	彩食鮮	c=4 d=1.95437 t=14207
cai wan le 	猜完了	c=1 d=1 t=30063
cai wu 	財務	c=3 d=1 t=30356
cai yang 	採樣	c=1 d=1 t=11839
can 	參	c=1 d=1 t=12051
can guan 	參觀	c=1 d=1 t=21306
can jia 	參加	c=2 d=1 t=22464
can kao 	參考	c=8 d=1.00803 t=30788
can ku 	殘酷	c=1 d=1 t=19521
can shu 	參數	c=78 d=1.01841 t=30354
can yu 	參與	c=3 d=1 t=30379
cang 	倉	c=4 d=1.00108 t=26045
cang chu 	倉儲	c=3 d=1.38098 t=30527
cang hai 	滄海	c=0 d=0.1 t=13706
cang ku 	倉庫	c=13 d=1.00318 t=17801
cang qi lai 	藏起來	c=1 d=1 t=16930
cao 	曹	c=1 d=1 t=28214
cao zuo 	操作	c=10 d=1 t=29309
ce 	測	c=13 d=1.20909 t=25241
ce chuo 	測戳	c=1 d=1 t=59
ce de 	測得	c=2 d=1 t=16585
ce le 	測了	c=2 d=1.13003 t=19430
ce lve 	策略	c=8 d=1.02432 t=30481
ce shi 	測試	c=149 d=2.29129 t=31374
ce shi huan jing 	測試環境	c=1 d=1 t=60
ce suo 	廁所	c=1 d=1 t=2940
ceng 	層	c=1 d=1 t=4918
ceng ji 	層級	c=1 d=1 t=22808
ceng mian 	層面	c=0 d=0.1 t=20127
cha 	差	c=3 d=1 t=25716
cha 	查	c=18 d=1.00689 t=16718
cha bu dao 	查不到	c=2 d=1 t=30990
cha bu duo 	差不多	c=5 d=1 t=29172
cha cha 	查查	c=1 d=1 t=17362
cha chu 	查出	c=1 d=1 t=12329
cha chu lai 	差出來	c=1 d=1 t=17788
cha dao 	查到	c=4 d=1 t=25493
cha dian 	差點	c=2 d=1 t=17872
cha jia 	差價	c=0 d=0.1 t=21407
cha jian 	插件	c=5 d=1.02607 t=25050
cha kan 	查看	c=7 d=1.9802 t=30418
cha ru 	插入	c=1 d=1 t=6271
cha shen me 	差什麼	c=1 d=1 t=7362
cha shui 	茶水	c=1 d=1 t=12509
cha shui jian 	查水煎	c=1 d=1 t=16078
cha xun 	查詢	c=13 d=1 t=31168
cha yi 	差異	c=1 d=1.00005 t=8544
cha yi dan 	差異單	c=1 d=1 t=7040
cha yi dan 	查一旦	c=1 d=1 t=7039
cha yi dian 	差一點	c=1 d=1 t=19010
cha yi xia 	查一下	c=4 d=0.1 t=30539
cha yue 	查閱	c=1 d=1 t=24419
cha zhao 	查找	c=8 d=1 t=23648
chai fen 	拆分	c=3 d=1.01189 t=30636
chai jie 	拆解	c=1 d=1 t=12116
chan chu 	產出	c=0 d=0.1 t=28762
chan chu le 	產出了	c=1 d=1 t=28763
chan jia 	產假	c=0 d=0.1 t=3087
chan pin 	產品	c=33 d=1.30498 t=30961
chan sheng 	產生	c=1 d=1 t=8543
chang du 	長度	c=1 d=1 t=13846
chang jian 	常見	c=5 d=1 t=31150
chang jing 	場景	c=46 d=1.00003 t=31204
chang jiu 	長久	c=1 d=1 t=11349
chang qi 	長期	c=3 d=1 t=22669
chang shi 	嘗試	c=2 d=1 t=24323
chang yang 	長陽	c=4 d=1.98043 t=25953
chang yong 	常用	c=1 d=1 t=8174
chao 	抄	c=2 d=1 t=18476
chao 	超	c=2 d=1 t=21037
chao chu 	超出	c=0 d=0.1 t=20590
chao chu lai 	超出來	c=1 d=1 t=20591
chao guo 	超過	c=2 d=1 t=30640
chao ji 	超集	c=1 d=1 t=11713
chao shi 	超市	c=1 d=1 t=5471
chao shi 	超時	c=3 d=1.85432 t=29350
chao shi le 	超時了	c=1 d=1 t=10327
chao shi shi jian 	超時時間	c=1 d=1 t=29332
che 	扯	c=1 d=1 t=6654
che 	車	c=1 d=1 t=8488
che che 	車車	c=2 d=1.60957 t=30041
che dan 	扯淡	c=1 d=1 t=6475
che di 	徹底	c=2 d=1.7788 t=19249
chen 	陳	c=7 d=1.22091 t=30864
chen dian 	沉澱	c=3 d=1 t=20148
chen yang 	晨陽	c=5 d=1 t=30610
chen zhong 	沉重	c=1 d=1 t=8583
cheng 	成	c=10 d=1.00034 t=28973
cheng 	程	c=0 d=0.1 t=1318
cheng 	稱	c=0 d=0.194176 t=1830
cheng ben 	成本	c=5 d=1.99501 t=30329
cheng du 	成都	c=1 d=1 t=15760
cheng du 	程度	c=5 d=1.0185 t=30599
cheng gong 	成功	c=21 d=1 t=28614
cheng li 	成立	c=1 d=1 t=9398
cheng nuo 	承諾	c=1 d=1 t=24579
cheng qu 	成渠	c=3 d=0.1 t=28871
cheng shi 	城市	c=1 d=1 t=30529
cheng shi fu wu shang 	城市服務商	c=3 d=1 t=30048
cheng shu 	成熟	c=2 d=1 t=28072
cheng xing 	成型	c=1 d=1 t=22598
cheng xing 	成形	c=2 d=1.99005 t=27514
cheng xu 	程序	c=2 d=1.0003 t=6415
cheng xu yuan 	程序員	c=1 d=1 t=11622
cheng yuan 	成員	c=1 d=1 t=9811
cheng zhang 	成長	c=7 d=1 t=24910
cheng zi 	橙子	c=4 d=2.91151 t=8344
chi 	喫	c=18 d=1 t=28901
chi 	赤	c=1 d=1 t=21278
chi ba 	喫吧	c=1 d=0.1 t=20929
chi cun 	尺寸	c=29 d=2.95458 t=28728
chi dao 	遲到	c=1 d=1 t=16927
chi de 	喫得	c=1 d=1 t=15248
chi dian 	喫點	c=2 d=1 t=23386
chi dong xi 	喫東西	c=3 d=1 t=24697
chi fan 	喫飯	c=6 d=1.00029 t=20614
chi fan ba 	喫飯把	c=1 d=1 t=19448
chi fan mei 	喫飯沒	c=3 d=1 t=30446
chi guo 	喫過	c=1 d=1 t=25412
chi le 	喫了	c=2 d=1 t=27462
chi mei chi 	喫沒喫	c=2 d=1 t=14517
chi sha 	喫啥	c=3 d=1 t=29520
chi sha 	癡傻	c=2 d=1.3588 t=22975
chi wan 	喫完	c=1 d=1 t=15246
chi wan le 	喫完了	c=1 d=1 t=1653
chi xu 	持續	c=8 d=1.01614 t=27974
chong 	崇	c=2 d=1.99005 t=25682
chong 	重	c=2 d=1.04689 t=21840
chong da 	重達	c=1 d=1 t=519
chong fa 	重發	c=5 d=0.100001 t=26771
chong fa le 	重發了	c=1 d=1 t=26772
chong fu 	重複	c=15 d=0.1 t=29709
chong fu lv 	重複率	c=2 d=1.72979 t=29773
chong gou 	重構	c=5 d=2.00033 t=9772
chong he 	重合	c=1 d=1 t=16740
chong jian 	重建	c=2 d=1 t=21831
chong man le 	充滿了	c=1 d=1 t=6456
chong qi 	重啓	c=14 d=1 t=27606
chong qing 	重慶	c=5 d=1 t=25450
chong shi 	重試	c=1 d=1 t=29694
chong tu 	衝突	c=3 d=1 t=14452
chong tui 	重推	c=1 d=1 t=17813
chong xie 	重寫	c=7 d=1 t=17197
chong xie le 	重寫了	c=1 d=1 t=4818
chong xin 	重新	c=19 d=3.09905 t=29830
chong xin lai 	重新來	c=1 d=1 t=18661
chong yuan 	重圓	c=1 d=1.09851 t=28226
chong zhuang 	重裝	c=3 d=1.02409 t=20313
chou chou 	瞅瞅	c=2 d=1 t=15657
chou feng 	抽風	c=2 d=1.99501 t=26024
