# Rime user dictionary
#@/db_name	sougou
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6400
#@/user_id	53f8df16-24bd-4171-bf21-ee7068d0bb6a
a 	啊	c=9 d=0.00278899 t=6400
bi 	比	c=1 d=9.3062e-08 t=6400
bi bao 	闭包	c=2 d=5.94223e-05 t=6400
bi jiao 	比较	c=1 d=0.0227089 t=6400
bi jiao chang 	比较长	c=1 d=0.247833 t=6400
bi jiao xiao 	比较小	c=1 d=4.16069e-08 t=6400
bi ru 	比如	c=5 d=0.000199021 t=6400
bi shi ti 	笔试题	c=1 d=5.41009e-09 t=6400
bi xu 	必须	c=2 d=6.34918e-05 t=6400
bian 	边	c=1 d=1.0417e-10 t=6400
bian li 	遍历	c=2 d=3.16396e-12 t=6400
bian liang 	变量	c=1 d=5.25199e-13 t=6400
bian ma 	编码	c=1 d=0.222017 t=6400
bian yi 	编译	c=2 d=0.000396894 t=6400
biao ge 	表哥	c=4 d=0.835412 t=6400
biao li 	表里	c=1 d=3.86202e-14 t=6400
biao qing 	表情	c=1 d=5.43906e-13 t=6400
biao tou 	表头	c=2 d=6.41338e-09 t=6400
biao zhun hua 	标准化	c=1 d=0.00247875 t=6400
bie bie bie 	别别别	c=1 d=0.142274 t=6400
bie de 	别的	c=1 d=0.000159256 t=6400
bie dong 	别动	c=2 d=5.50528e-05 t=6400
bie ren 	别人	c=1 d=0.185444 t=6400
bie ren de 	别人的	c=1 d=5.24841e-05 t=6400
bing fa 	并发	c=1 d=2.06719e-14 t=6400
bing mei you 	并没有	c=1 d=6.36307e-06 t=6400
bo 	波	c=1 d=5.18719e-14 t=6400
bo song 	播送	c=1 d=2.17244e-10 t=6400
bu 	不	c=10 d=0.0566248 t=6400
bu 	步	c=0 d=5.9349e-11 t=6400
bu bu bu 	不不不	c=1 d=0.00167826 t=6400
bu chong 	补充	c=1 d=9.56323e-05 t=6400
bu chou 	不抽	c=1 d=6.39714e-10 t=6400
bu cuo 	不错	c=1 d=2.12942e-10 t=6400
bu dong 	不懂	c=1 d=6.50731e-05 t=6400
bu dui 	不对	c=5 d=1.5358e-05 t=6400
bu fen 	部份	c=2 d=0.895834 t=6400
bu fen 	部分	c=1 d=0.918512 t=6400
bu gou 	不够	c=1 d=0.00406639 t=6400
bu guo 	不果	c=3 d=0.0645755 t=6400
bu han 	不含	c=1 d=9.95521e-07 t=6400
bu hao 	不好	c=1 d=0.856415 t=6400
bu hao xie 	不好写	c=1 d=0.000391706 t=6400
bu hui 	不会	c=1 d=5.57675e-13 t=6400
bu hui shi 	不会是	c=1 d=1.98614e-14 t=6400
bu jia 	不加	c=1 d=1.2375e-07 t=6400
bu jian rong 	不兼容	c=1 d=0.0393602 t=6400
bu jiu shi 	不就是	c=1 d=3.22474e-10 t=6400
bu kai le 	不开了	c=1 d=0.00673795 t=6400
bu kan 	不看	c=1 d=0.0788664 t=6400
bu le 	不了	c=1 d=9.9295e-06 t=6400
bu li 	不利	c=1 d=0.197899 t=6400
bu neng 	不能	c=7 d=0.237146 t=6400
bu neng dong 	不能动	c=1 d=2.34084e-06 t=6400
bu neng yong 	不能用	c=2 d=0.103312 t=6400
bu que ding 	不确定	c=1 d=0.960789 t=6400
bu ran 	不然	c=2 d=2.26618e-07 t=6400
bu shi 	不是	c=14 d=1.11098 t=6400
bu shu 	部署	c=1 d=0.458406 t=6400
bu shui 	补税	c=1 d=1.46682e-07 t=6400
bu tai 	不太	c=2 d=4.79697e-05 t=6400
bu tai dong 	不太懂	c=2 d=2.54761e-06 t=6400
bu tong 	不同	c=4 d=0.0031657 t=6400
bu tong 	不痛	c=1 d=3.27291e-08 t=6400
bu xian shi 	不显示	c=1 d=2.81654e-06 t=6400
bu xiang 	不想	c=1 d=6.52637e-10 t=6400
bu xing 	不行	c=3 d=4.14212e-06 t=6400
bu xing kong 	不行空	c=1 d=1.27497e-05 t=6400
bu xu yao 	不需要	c=4 d=0.144719 t=6400
bu yao 	不要	c=9 d=0.358103 t=6400
bu ying gai 	不应该	c=1 d=0.00786762 t=6400
bu ying xiang 	不影响	c=1 d=2.22668e-06 t=6400
bu yong 	不用	c=6 d=0.000424901 t=6400
bu yong huan 	不用换	c=1 d=0.000343955 t=6400
bu yong le 	不用了	c=2 d=1.37151e-06 t=6400
bu yong zuo 	不用做	c=1 d=9.61117e-05 t=6400
bu zai 	不在	c=1 d=6.51063e-11 t=6400
bu zhao 	不招	c=1 d=1.10574e-06 t=6400
bu zhi chi 	不支持	c=4 d=0.0681029 t=6400
bu zhi dao 	不知道	c=6 d=0.0550739 t=6400
bu zhi yu 	不至于	c=1 d=0.00285124 t=6400
bu zuo 	不做	c=1 d=0.0176857 t=6400
ca 	擦	c=1 d=1.59777e-13 t=6400
cai 	才	c=1 d=0.00153381 t=6400
cai fa xian 	才发现	c=1 d=0.0361528 t=6400
cai hui 	才会	c=1 d=1.92115e-05 t=6400
cai shi xian 	彩食鲜	c=1 d=2.08761e-12 t=6400
cai wu 	财务	c=1 d=0.615697 t=6400
can jia 	参加	c=1 d=0.0130365 t=6400
can shu 	参数	c=10 d=0.21582 t=6400
can yu 	参与	c=2 d=9.96192e-07 t=6400
cang chu 	仓储	c=2 d=0.3947 t=6400
ce 	测	c=2 d=0.362413 t=6400
ce lue 	策略	c=2 d=2.27687e-05 t=6400
ce shi 	测试	c=50 d=4.54718 t=6400
ce yi ce 	测一侧	c=1 d=1.14216e-05 t=6400
ceng ceng 	蹭蹭	c=1 d=1.97079e-11 t=6400
ceng ji 	层级	c=1 d=3.13593e-05 t=6400
cha 	插	c=1 d=0.00995182 t=6400
cha 	查	c=3 d=8.14479e-08 t=6400
cha bu dao 	查不到	c=1 d=4.57456e-06 t=6400
cha cha 	查查	c=1 d=1.12573e-11 t=6400
cha dao 	查到	c=1 d=2.03572e-10 t=6400
cha jian 	插件	c=4 d=0.670508 t=6400
cha kan 	查看	c=3 d=0.000236397 t=6400
cha lou bu que 	查漏补缺	c=1 d=5.17115e-07 t=6400
cha ri zhi 	查日志	c=1 d=0.733447 t=6400
cha zhao 	查找	c=10 d=2.46231e-07 t=6400
cha zhao 	查照	c=1 d=1.57018e-14 t=6400
chai fen 	拆分	c=2 d=1.59395e-05 t=6400
chan pin 	产品	c=2 d=7.81082e-06 t=6400
chang du 	长度	c=2 d=0.224464 t=6400
chang jian 	常见	c=1 d=6.08308e-06 t=6400
chang jing 	场景	c=10 d=0.0835311 t=6400
chang tai 	常态	c=1 d=7.77187e-06 t=6400
chang yong 	常用	c=2 d=0.000281447 t=6400
chang yuan 	长远	c=1 d=0.193013 t=6400
chao 	超	c=1 d=1.35407e-07 t=6400
chao rong yi 	超容易	c=1 d=2.26695e-11 t=6400
chao shi 	超时	c=3 d=3.23414e-13 t=6400
chao shi le 	超时了	c=1 d=4.9342e-14 t=6400
che dan 	扯淡	c=1 d=0.0739031 t=6400
che pai 	车牌	c=1 d=0.00219846 t=6400
chen 	陈	c=2 d=9.78167e-06 t=6400
chen si 	沉思	c=1 d=0.160414 t=6400
cheng ben 	成本	c=1 d=0.0193512 t=6400
cheng gong 	成功	c=1 d=9.80866e-09 t=6400
cheng qu 	成渠	c=1 d=0.00348252 t=6400
cheng shu du 	成熟度	c=1 d=4.68144e-13 t=6400
cheng xu yuan 	程序员	c=2 d=3.65238e-06 t=6400
cheng yuan 	成员	c=1 d=0.0194482 t=6400
chi 	吃	c=1 d=0.00188279 t=6400
chi cun 	尺寸	c=4 d=0.000675135 t=6400
chi de sha 	吃的啥	c=1 d=0.0018363 t=6400
chi fan 	吃饭	c=1 d=0.00197932 t=6400
chi sha 	吃啥	c=2 d=0.00194772 t=6400
chi zao 	迟早	c=1 d=0.0572688 t=6400
chong ci 	冲刺	c=1 d=0.379083 t=6400
chong fa 	重发	c=3 d=1.16544e-07 t=6400
chong fa le 	重发了	c=1 d=2.02626e-14 t=6400
chong fu 	重复	c=14 d=0.541058 t=6400
chong lai 	重来	c=1 d=5.16131e-14 t=6400
chong qi 	重启	c=1 d=5.23932e-14 t=6400
chong qing 	重庆	c=2 d=2.43295e-06 t=6400
chong tu 	冲突	c=2 d=0.00386807 t=6400
chong xin 	重新	c=6 d=1.4021 t=6400
chong zhuang 	重装	c=2 d=4.54381e-13 t=6400
chong zuo 	重做	c=1 d=0.0578443 t=6400
chou 	抽	c=1 d=6.46143e-10 t=6400
chou le 	抽了	c=0 d=1.46353e-11 t=6400
chou le gen yan 	抽了根烟	c=1 d=1.47087e-10 t=6400
chou qu 	抽取	c=1 d=3.73566e-05 t=6400
chou xiang 	抽象	c=1 d=0.0109436 t=6400
chu 	出	c=8 d=0.189984 t=6400
chu bu 	初步	c=1 d=0.00130051 t=6400
chu cuo 	出错	c=1 d=7.81348e-10 t=6400
chu ku 	出库	c=1 d=2.93249e-10 t=6400
chu ku dan 	出库单	c=15 d=1.56191 t=6400
chu ku dan hao 	出库单好	c=1 d=3.86137e-12 t=6400
chu lai 	出来	c=12 d=0.00705944 t=6400
chu lai ba 	出来吧	c=1 d=4.00653e-05 t=6400
chu lai de 	出来的	c=1 d=0.00129402 t=6400
chu lai le 	出来了	c=1 d=0.0397558 t=6400
chu le 	除了	c=1 d=0.000139842 t=6400
chu li 	处理	c=4 d=0.941765 t=6400
chu mo ban 	触摸板	c=1 d=1.1806e-12 t=6400
chu shi 	初始	c=1 d=1.53883e-12 t=6400
chu ti 	出题	c=1 d=5.06876e-07 t=6400
chu xian le 	出现了	c=1 d=2.79716e-13 t=6400
chu yi ge 	出一个	c=1 d=0.00109719 t=6400
chuan 	传	c=2 d=9.14965e-09 t=6400
chuan 	穿	c=3 d=0.00636018 t=6400
chuang jian 	创建	c=1 d=3.02179e-10 t=6400
chuang xiang 	创想	c=1 d=2.10788e-08 t=6400
chuang you 	创游	c=1 d=1.49284e-08 t=6400
chui zhi 	垂直	c=4 d=5.17203e-12 t=6400
ci 	此	c=4 d=3.66283e-08 t=6400
ci pan 	磁盘	c=2 d=8.90771e-14 t=6400
cong 	从	c=5 d=0.763788 t=6400
cong tou 	从头	c=1 d=6.45923e-06 t=6400
cuo 	错	c=1 d=0.650509 t=6400
cuo le 	错了	c=1 d=0.0117371 t=6400
cuo wu 	错误	c=2 d=0.00167097 t=6400
cuo zao 	搓澡	c=1 d=0.00171216 t=6400
da 	大	c=2 d=1.40567e-06 t=6400
da 	打	c=8 d=0.395686 t=6400
da 	搭	c=1 d=2.27205e-08 t=6400
da an 	答案	c=1 d=6.30297e-12 t=6400
da bu fen 	大部份	c=1 d=4.04955e-13 t=6400
da cheng 	达成	c=1 d=1.04457e-13 t=6400
da chu lai 	打出来	c=2 d=7.35096e-14 t=6400
da dao 	达到	c=1 d=0.66365 t=6400
da de 	打得	c=1 d=4.27852e-13 t=6400
da duo 	打多	c=1 d=2.10895e-14 t=6400
da fang xiang 	大方向	c=1 d=1.15086e-06 t=6400
da gai lv 	大概率	c=1 d=7.63639e-05 t=6400
da gang 	大纲	c=1 d=0.000153011 t=6400
da ge 	大哥	c=1 d=1.51123e-05 t=6400
da hui yi shi 	大会议室	c=1 d=3.66294e-09 t=6400
da jia 	大家	c=4 d=0.0338949 t=6400
da kai 	打开	c=4 d=0.628135 t=6400
da lian 	大连	c=1 d=0.00677172 t=6400
da ma 	大妈	c=2 d=4.81386e-10 t=6400
da tou 	大头	c=1 d=0.00975476 t=6400
da xiao 	大小	c=1 d=1.36083e-07 t=6400
da xiao xie 	大小写	c=1 d=0.0116786 t=6400
da xie 	大写	c=7 d=0.0369096 t=6400
da yi ci 	打一次	c=1 d=4.09805e-06 t=6400
da yin 	打印	c=89 d=0.863713 t=6400
da yin ji 	打印机	c=7 d=0.0448944 t=6400
da zhi 	大致	c=4 d=0.0564072 t=6400
da zi 	打字	c=0 d=1.01878e-14 t=6400
da zi yuan 	打字员	c=1 d=1.02389e-13 t=6400
dai hui er 	待会儿	c=1 d=8.35839e-09 t=6400
dai ma 	代码	c=10 d=0.340896 t=6400
dai ma li 	代码里	c=1 d=0.0274607 t=6400
dan 	单	c=11 d=0.183776 t=6400
dan du 	丹毒	c=1 d=7.07114e-12 t=6400
dan du 	单独	c=8 d=0.0729253 t=6400
dan hao 	单号	c=23 d=0.109145 t=6400
dan jia 	单价	c=4 d=6.95277e-12 t=6400
dan shi 	但是	c=6 d=0.0789625 t=6400
dan wei 	单位	c=8 d=1.02073e-06 t=6400
dan yuan 	单元	c=1 d=0.293758 t=6400
dan yuan ce shi 	单元测试	c=1 d=0.264477 t=6400
dan yuan ge 	单元格	c=1 d=8.38288e-14 t=6400
dan zi 	单子	c=3 d=5.64523e-06 t=6400
dang qian 	当前	c=3 d=0.108612 t=6400
dang shi 	当时	c=6 d=0.976437 t=6400
dang tian 	当天	c=1 d=1.07583e-07 t=6400
dao 	到	c=13 d=0.574732 t=6400
dao chu 	到处	c=1 d=0.199888 t=6400
dao chu 	导出	c=1 d=0.172045 t=6400
dao le 	到了	c=1 d=2.40713e-11 t=6400
dao li 	道理	c=2 d=0.000248716 t=6400
dao ru 	导入	c=1 d=1.09473e-06 t=6400
dao shen me 	到什么	c=1 d=1.22203e-06 t=6400
dao shi hou 	到时候	c=5 d=5.78199e-05 t=6400
dao xia 	到下	c=1 d=0.00421123 t=6400
dao xu 	倒序	c=1 d=3.60093e-14 t=6400
de 	得	c=10 d=0.625732 t=6400
de 	的	c=301 d=13.2621 t=6400
de hua 	的话	c=1 d=2.76265e-14 t=6400
de ren 	的人	c=1 d=0.000953854 t=6400
deng 	等	c=4 d=4.25395e-09 t=6400
deng bu deng 	等不等	c=1 d=0.00200924 t=6400
deng deng 	等等	c=3 d=9.46807e-05 t=6400
deng lu 	登录	c=5 d=0.00284177 t=6400
deng wo 	等我	c=2 d=1.6518e-13 t=6400
deng xia 	等下	c=2 d=2.6341e-13 t=6400
deng zhe 	等着	c=0 d=7.5996e-08 t=6400
di 	第	c=2 d=6.91364e-09 t=6400
di er 	第二	c=0 d=2.86057e-13 t=6400
di er bo 	第二波	c=1 d=2.88235e-13 t=6400
di er ge 	第二个	c=3 d=4.93656e-12 t=6400
di er lie 	第二列	c=2 d=5.92758e-12 t=6400
di fang 	地方	c=4 d=0.210353 t=6400
di yi ci 	第一次	c=1 d=1.78264e-07 t=6400
di yi ge 	第一个	c=7 d=0.000114485 t=6400
di yi lie 	第一列	c=1 d=2.77603e-12 t=6400
di zhi 	地址	c=6 d=0.625009 t=6400
di zhi 	地支	c=1 d=1.16885e-12 t=6400
dian 	点	c=9 d=7.48421e-05 t=6400
dian an 	点按	c=0 d=1.1806e-13 t=6400
dian dian 	点点	c=1 d=2.3477e-11 t=6400
dian ji 	点击	c=1 d=0.00037447 t=6400
dian le 	点了	c=2 d=2.87376e-11 t=6400
dian nao 	电脑	c=3 d=0.529219 t=6400
diao 	掉	c=1 d=2.70795e-14 t=6400
diao du 	调度	c=1 d=0.332871 t=6400
diao yan 	调研	c=2 d=1.79311e-05 t=6400
diao yong 	调用	c=5 d=2.7263e-05 t=6400
ding 	丁	c=1 d=1.91685e-08 t=6400
ding 	定	c=1 d=0.00125578 t=6400
ding dan 	订单	c=37 d=0.88692 t=6400
ding dan hao 	订单号	c=10 d=8.90209e-07 t=6400
ding er 	丁二	c=1 d=0.00344787 t=6400
ding jian zhong 	丁建忠	c=45 d=0.803108 t=6400
ding wei 	定位	c=2 d=0.00323101 t=6400
ding xia lai 	定下来	c=1 d=1.36412e-06 t=6400
ding yi 	定义	c=2 d=3.5898e-07 t=6400
diu le 	丢了	c=1 d=1.26315e-13 t=6400
dong 	动	c=1 d=6.56321e-05 t=6400
dong po 	东坡	c=0 d=5.9216e-14 t=6400
dong tai 	动态	c=1 d=5.22579e-13 t=6400
dong xi 	东西	c=7 d=0.134045 t=6400
dou 	都	c=17 d=0.263565 t=6400
dou bu xu yao 	都不需要	c=0 d=0.00788664 t=6400
dou bu xu yao kan 	都不需要看	c=1 d=0.0792617 t=6400
dou chuan 	都穿	c=1 d=0.0028799 t=6400
dou deng zhe 	都等着	c=1 d=7.63769e-07 t=6400
dou he 	都和	c=1 d=0.0143357 t=6400
dou hen 	都很	c=1 d=0.000122794 t=6400
dou ke yi 	都可以	c=1 d=0.000808767 t=6400
dou shi 	都是	c=9 d=0.951229 t=6400
dou yao 	都要	c=1 d=0.00423234 t=6400
dou you 	都有	c=2 d=1.0031e-07 t=6400
dou zai 	都在	c=2 d=0.000958683 t=6400
du 	度	c=2 d=0.268485 t=6400
du li 	毒力	c=1 d=2.13457e-09 t=6400
du li 	独立	c=1 d=2.14527e-09 t=6400
duan 	端	c=11 d=1.31271 t=6400
duan dao duan 	端到端	c=9 d=1.09217 t=6400
duan le 	短了	c=1 d=0.275271 t=6400
dui 	对	c=9 d=0.212525 t=6400
dui bu dui 	对不对	c=1 d=0.000710174 t=6400
dui jie 	对接	c=3 d=0.466008 t=6400
dui lie 	队列	c=1 d=4.76287e-10 t=6400
dui ma 	对吗	c=1 d=1.84263e-14 t=6400
dui ma 	对嘛	c=1 d=1.83344e-14 t=6400
dui qi 	对齐	c=2 d=0.0105757 t=6400
dui ying 	对应	c=3 d=0.0254346 t=6400
duo 	多	c=4 d=0.268737 t=6400
duo dan 	多单	c=1 d=0.0685632 t=6400
duo duan 	多端	c=1 d=0.216536 t=6400
duo shao 	多少	c=2 d=0.000134358 t=6400
duo shao dan 	多少单	c=2 d=0.0415857 t=6400
duo shao fen 	多少分	c=2 d=0.00508307 t=6400
duo shao ge 	多少个	c=1 d=4.37625e-14 t=6400
duo shao ren 	多少人	c=1 d=0.0023461 t=6400
duo sui bian 	多随便	c=1 d=1.16563e-09 t=6400
duo xie 	多写	c=1 d=0.000405658 t=6400
e le 	饿了	c=2 d=0.657473 t=6400
en 	恩	c=17 d=0.136149 t=6400
en en 	恩恩	c=1 d=3.14565e-12 t=6400
er 	二	c=1 d=1.52352e-12 t=6400
er 	而	c=2 d=0.183249 t=6400
er qie 	而且	c=2 d=0.0096577 t=6400
er wei ma 	二维码	c=1 d=2.16124e-08 t=6400
fa 	发	c=5 d=0.00900586 t=6400
fa 	法	c=1 d=0.00051312 t=6400
fa bu 	发布	c=9 d=1.12263 t=6400
fa gei 	发给	c=1 d=0.00136719 t=6400
fa guo 	发过	c=2 d=0.000164515 t=6400
fa hong bao 	发红包	c=1 d=3.94822e-09 t=6400
fa hui 	发挥	c=1 d=0.164474 t=6400
fa le 	发了	c=2 d=0.00923273 t=6400
fa ni 	发你	c=1 d=2.25488e-07 t=6400
fa sheng 	发生	c=1 d=0.00644146 t=6400
fa wan le 	发完了	c=4 d=0.000709506 t=6400
fa wo 	发我	c=1 d=4.03704e-06 t=6400
fa xian 	发现	c=4 d=0.0238009 t=6400
fa yi ci 	发一次	c=1 d=2.03081e-11 t=6400
fa yi xia 	发一下	c=2 d=2.26682e-09 t=6400
fa zhan 	发展	c=1 d=2.09808e-12 t=6400
fan hui 	返回	c=8 d=0.97531 t=6400
fan hui zhi 	返回值	c=1 d=0.142987 t=6400
fan kui 	反馈	c=2 d=8.05591e-08 t=6400
fan qie 	番茄	c=1 d=0.000448321 t=6400
fan si 	反思	c=1 d=0.865022 t=6400
fan wei 	范围	c=1 d=0.00603608 t=6400
fan zheng 	反正	c=3 d=0.973089 t=6400
fang 	房	c=1 d=0.00687406 t=6400
fang 	放	c=1 d=1.71245e-05 t=6400
fang 	方	c=1 d=1.35801e-12 t=6400
fang an 	方案	c=10 d=0.43962 t=6400
fang an shi 	方案是	c=1 d=0.0889216 t=6400
fang dao 	放到	c=3 d=2.05217e-10 t=6400
fang fa 	方法	c=1 d=0.203926 t=6400
fang qi 	放弃	c=1 d=1.06825e-12 t=6400
fang shi 	方式	c=4 d=0.695724 t=6400
fang tian xia 	房天下	c=1 d=5.12231e-13 t=6400
fang wen 	访问	c=2 d=3.25024e-05 t=6400
fang xiang 	方向	c=3 d=0.0218184 t=6400
fang xin ba 	放心吧	c=1 d=5.54894e-13 t=6400
fang yi ge 	放一个	c=2 d=3.52049e-05 t=6400
fang zai 	放在	c=2 d=1.35381e-05 t=6400
fei 	非	c=1 d=1.62081e-05 t=6400
fei 	飞	c=1 d=8.6995e-09 t=6400
fei chang 	非常	c=1 d=8.8967e-08 t=6400
fei hu 	飞虎	c=1 d=1.53063e-08 t=6400
fei qi 	废弃	c=2 d=0.000218221 t=6400
fei shu 	飞书	c=8 d=1.95619e-06 t=6400
fen 	份	c=2 d=2.42123e-05 t=6400
fen 	分	c=1 d=0.323033 t=6400
fen ge 	分格	c=1 d=8.1548e-13 t=6400
fen kai 	分开	c=2 d=3.7405e-12 t=6400
fen lei 	分类	c=1 d=5.87485e-08 t=6400
fen qi 	分期	c=1 d=0.000418012 t=6400
fen xiang 	分享	c=10 d=0.471883 t=6400
fen ye 	分页	c=1 d=0.000303539 t=6400
fen zhi 	分之	c=1 d=3.291e-14 t=6400
fen zhi 	分支	c=4 d=1.87508e-11 t=6400
fen zu 	分组	c=2 d=2.75456e-05 t=6400
feng 	凤	c=1 d=5.77441e-11 t=6400
feng 	风	c=1 d=0.000973123 t=6400
feng ge 	风格	c=1 d=0.22313 t=6400
feng zhuang 	封装	c=1 d=5.71404e-05 t=6400
fou 	否	c=4 d=1.63855 t=6400
fu 	服	c=1 d=8.96444e-09 t=6400
fu gai 	覆盖	c=2 d=0.726291 t=6400
fu gai lv 	覆盖率	c=1 d=1.78695e-06 t=6400
fu jin 	附近	c=1 d=0.00208081 t=6400
fu pan 	复盘	c=3 d=0.362623 t=6400
fu wei 	抚慰	c=1 d=2.37703e-10 t=6400
fu wu 	服务	c=12 d=0.456124 t=6400
fu wu qi 	服务器	c=3 d=0.0623495 t=6400
fu za 	复杂	c=2 d=7.40857e-11 t=6400
fu ze ren 	负责人	c=1 d=1.13157e-13 t=6400
fu zhi 	复制	c=6 d=1.38915 t=6400
gai 	改	c=8 d=0.141725 t=6400
gai cheng 	改成	c=4 d=0.0211833 t=6400
gai dong 	改动	c=1 d=4.2756e-05 t=6400
gai guo 	改过	c=1 d=8.00856e-06 t=6400
gai le 	改了	c=5 d=0.00970836 t=6400
gai wan 	改完	c=1 d=1.59749e-11 t=6400
gai xia 	改下	c=1 d=0.0349094 t=6400
gai yi xia 	改一下	c=9 d=0.0125829 t=6400
gai zao 	改造	c=3 d=0.000126791 t=6400
gai zao dian 	改造点	c=1 d=7.5227e-05 t=6400
gan 	干	c=3 d=7.96508e-13 t=6400
gan jue 	感觉	c=3 d=0.000554798 t=6400
gan sha 	干啥	c=1 d=0.00114769 t=6400
gan sha de 	干啥的	c=1 d=3.20865e-10 t=6400
gang 	刚	c=4 d=0.320668 t=6400
gang cai 	刚才	c=4 d=0.839457 t=6400
gang dao 	刚到	c=2 d=6.12877e-13 t=6400
gang dao gong si 	刚到公司	c=1 d=5.27831e-13 t=6400
gang kai wan 	刚开完	c=1 d=0.000337144 t=6400
gao 	搞	c=3 d=1.94769e-07 t=6400
gao 	高	c=1 d=0.00543443 t=6400
gao bu liao 	搞不了	c=1 d=3.13806e-13 t=6400
gao feng 	高峰	c=1 d=4.73831e-08 t=6400
gao jing 	告警	c=1 d=9.85447e-05 t=6400
gao si le 	搞死了	c=1 d=1.34798e-13 t=6400
gao su wo 	告诉我	c=1 d=2.95532e-13 t=6400
gao ta ma 	搞他妈	c=1 d=1.87404e-07 t=6400
gao yi xia 	搞一下	c=2 d=0.0720785 t=6400
ge 	个	c=20 d=1.84626 t=6400
ge 	各	c=4 d=0.0948868 t=6400
ge 	哥	c=1 d=1.02354e-09 t=6400
ge li 	隔离	c=1 d=7.39786e-14 t=6400
ge wei 	各位	c=1 d=0.000642592 t=6400
ge zhong 	各种	c=1 d=0.0108347 t=6400
gei 	给	c=3 d=0.467666 t=6400
gei de 	给的	c=2 d=2.95949e-09 t=6400
gei fei shu 	给飞书	c=1 d=3.24818e-07 t=6400
gei le ma 	给了吗	c=1 d=9.07797e-10 t=6400
gei le wo 	给了我	c=1 d=3.65473e-12 t=6400
gei ni 	给你	c=2 d=0.000992781 t=6400
gei ta 	给他	c=5 d=0.355301 t=6400
gei wo 	给我	c=5 d=2.86777e-08 t=6400
gei yu 	给予	c=1 d=0.0195457 t=6400
gen 	根	c=0 d=1.46353e-11 t=6400
gen ju 	根据	c=2 d=2.37768e-05 t=6400
